Title,Authors,Subjects,Abstract,PDF
Hodge Dual Gauge Symmetry in Minimal Einstein-Aether Theory,Kamal Hajian,General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"Einstein-aether gravity is a theory that breaks the local Lorentz symmetry by introducing a preferred direction via a vector field, which is considered to play the role of an aether. The theory is identified by four coupling constants between the aether and gravity. Minimal Einstein-aether is the special case in which only one of the couplings is non-zero. We show that the aether vector field in its minimal version is Hodge dual to a gauge field. The gauge symmetry in the dual description has been known for decades and has been used to implement a cosmological constant into the Lagrangian. As a result, solutions to the well-established gauge theory can be transferred into the minimal Einstein-aether theory straightforwardly. On the other hand, some of the proposed solutions to the minimal Einstein-aether theory could be discarded as pure gauges of the vanishing aether. We prove as a theorem that this holds true for all divergence-less aether fields.",https://arxiv.org/pdf/2504.12641
"Black Hole Thermodynamics in Harada's inspired theory of gravity: Stability, Phase Structure and Geometrothermodynamics","S. Ghaffari,G. G. Luciano",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"In this paper, we investigate the thermodynamic properties of spherically symmetric, static black hole solutions within the framework of Conformal Killing Gravity (CKG). This is a modified theory of gravity that retains all solutions of General Relativity, while addressing some of its theoretical shortcomings and enriching gravitational phenomenology at large distances. We derive key thermodynamic quantities, including mass, temperature, heat capacity and Gibbs free energy, to examine the stability and phase structure of extended Schwarzschild-AdS and charged AdS black holes. Furthermore, employing the formalism of geometrothermodynamics, we analyze the behavior of the thermodynamic curvature scalar to identify critical points and characterize phase transitions. Our results demonstrate that the parameter \( \lambda \), which quantifies deviations from Einstein's theory, plays a pivotal role in shaping the thermodynamic behavior, resulting in new stability conditions and distinct phase transition patterns compared to those predicted by standard General Relativity.",https://arxiv.org/pdf/2505.06560
Gravitational lensing of the wormhole in the Eddington-inspired Born-Infeld spacetime with a cosmic string,"Xin-Fei Li,Lei-Hua Liu,Yan-Zhi Meng,Shu-Qing Zhong,Li-Juan Zhou",General Relativity and Quantum Cosmology (gr-qc),"In this work we study gravitational lensing of the wormhole in the Eddington-inspired Born-Infeld (EiBI) spacetime that incorporates with a cosmic string. It was found that the presence of cosmic string can enhance the light deflection in strong field limit, compared to the case of the Eills-Bronnikov wormhole. The magnification effects of this composite structure could cause some substantial impacts on the angle separation between the first and the rest of the images, and their relative brightness. Furthermore, based on these observables, we model some observable aspects in the strong and the weak field limits. The presence of a cosmic string can affect some distinguishable observables compared to the wormhole without cosmic string. This work could deepen our understanding of the spacetime structure of the wormhole in EiBI spacetime with one-dimensional topological defects.",https://arxiv.org/pdf/2505.07420
Curvature corrections to Starobinsky inflation can explain the ACT results,"Andrea Addazi,Yermek Aldabergenov,Sergei V. Ketov",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Theory (hep-th),"We investigate the impact of curvature corrections to Starobinsky inflation in light of the latest observational results from the Atacama Cosmology Telescope (ACT). While the pure Starobinsky model remains a compelling candidate for cosmic inflation, we explore how the higher-order curvature terms $R^3$, $R^{4}$ and $R^{3/2}$ modify the inflationary predictions. Using the scalar-tensor formulation of $f(R)$ gravity, we derive the effective scalar potentials and compute the resulting scalar tilt $n_s$, its running index $\alpha_s$ and the tensor-to-scalar ratio $r$. We show that those curvature corrections can shift the predictions to align better with the ACT data, thus providing a possible resolution to a minor discrepancy between the standard Starobinsky model and ACT observations. Our findings suggest that the modified Starobinsky models with the higher-order curvature terms offer a viable pathway to reconciling inflationary predictions with precision cosmological measurements. At the same time, measuring or constraining primordial tensor modes can help to discriminate between these corrections.",https://arxiv.org/pdf/2505.10305
Light deflection and gravitational lensing effects in acoustic black-bounce spacetime,"C. F. S. Pereira,A. R. Soares,M. V. de S. Silva,R. L. L. Vitória,H. Belich",General Relativity and Quantum Cosmology (gr-qc),"In the present work, we analyze the gravitational deflection for a light beam in the weak and strong field regimes for the gravitational analogue geometry of an acoustic black hole (ABH) and acoustic black-bounce (ABB). Motivationally, the first spacetime arises as an exact solution of the field equations for gravitational black holes (BHs) in an Einstein-scalar-Gauss-Bonnet theory (EsGB) \cite{3}. In contrast, the second model arises from the combination of phantom scalar field and nonlinear electrodynamics in general relativity (GR) \cite{INTRO24}. We construct analytical expressions for the angular deflection of light in both limits and, from them, analyze the construction of the observables, which allow us to relate theoretical models to observational data. We compare these observables and show how much they differ from those obtained in the Schwarzschild solution.",https://arxiv.org/pdf/2505.12577
Torsional Effects in the Coupling between Gravity and Spinors -- Yukawa Gravity,Elisa Varani,General Relativity and Quantum Cosmology (gr-qc),"We study spinors in the framework of general relativity, starting from the Dirac field Lagrangian in the approximation of weak gravity. We focus on how fermions couple to gravity through the spin connection, and we analyze these couplings by analogy with the Ginzburg-Landau model and the Yukawa interaction known from the Higgs mechanism. By solving the field equations, we explore how these couplings affect the spacetime metric. In particular, torsion generated by fermionic spin currents naturally emerges and leads to the breaking of Lorentz symmetry. As a consequence, gravity acquires a mass and fermions gain additional mass contributions through their interaction with this gravitational field. These effects are localized and diminish quickly with distance. Our model offers an alternative explanation to phenomena usually attributed to dark matter and dark energy. We link these cosmological effects to chirality-flip processes of Majorana neutrinos interacting with a massive graviton. Right-handed Majorana neutrinos, which are sterile under Standard Model interactions, generate repulsive gravitational curvature and act as a source of dark energy, while left-handed neutrinos contribute to attractive gravitational effects akin to dark matter. The spin-gravity coupling modifies the curvature of spacetime, influencing galaxy rotation, the accelerated expansion of the universe, and the bending of light. In short, the intrinsic spin of fermions, when coupled to gravity via torsion, changes gravity from a long-range, massless force to a short-range, massive one. This new framework provides fresh insights into fundamental physics and cosmology, potentially explaining dark matter and dark energy phenomena through spin-related gravitational effects.",https://arxiv.org/pdf/2505.17158
Volume preserving spacetime mean curvature flow and foliations of initial data sets,Jacopo Tenan,Differential Geometry (math.DG); General Relativity and Quantum Cosmology (gr-qc); Mathematical Physics (math-ph); Analysis of PDEs (math.AP),"We consider a volume preserving curvature evolution of surfaces in an asymptotically Euclidean initial data set with positive ADM-energy. The speed is given by a nonlinear function of the mean curvature which generalizes the spacetime mean curvature recently considered by Cederbaum-Sakovich (Calc. Var. PDE, 2021). Following a classical approach by Huisken-Yau (Invent. Math., 1996), we show that the flow starting from suitably round initial surfaces exists for all times and converges to a constant (spacetime) curvature limit. This provides an alternative construction of the CSTMC foliation by Cederbaum-Sakovich and has applications in the definition of center of mass of an isolated system in General Relativity.",https://arxiv.org/pdf/2407.12971
Classical Observables from Causal Response Functions,"Shovon Biswas,Julio Parra-Martinez",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"We revisit the calculation of classical observables from causal response functions, following up on recent work by Caron-Huot at al. [JHEP 01 (2024) 139]. We derive a formula to compute asymptotic in-in observables from a particular soft limit of five-point amputated response functions. Using such formula, we re-derive the formulas by Kosower, Maybee and O'Connell (KMOC) for the linear impulse and radiated linear momentum of particles undergoing scattering, and we present an unambiguous calculation of the radiated angular momentum at leading order. Then, we explore the consequences of manifestly causal Feynman rules in the calculation of classical observables by employing the causal (Keldysh) basis in the in-in formalism. We compute the linear impulse, radiated waveform and its variance at leading and/or next-to-leading order in the causal basis, and find that all terms singular in the $\hbar \to 0$ limit cancel manifestly at the integrand level. We also find that the calculations simplify considerably and classical properties such as factorization of six-point amplitudes are more transparent in the causal basis.",https://arxiv.org/pdf/2411.09016
Observable Primordial Gravitational Waves from Non-minimally Coupled $R^2$ Palatini Modified Gravity,"Hardik Jitendra Kuralkar,Sukanta Panda,Archit Vidyarthi",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),"We probe the spectrum of primordial gravitational waves (GWs) produced during the eras of hyperkination, kination, and reheating in a non-minimally coupled, $\mathcal{L} \propto (1+ \xi \chi /M_{\text{Pl}})^t (R+\alpha R^2)$, modified gravity using the Palatini formulation. We consider a runaway potential, which gives an era of kinetic domination after the end of inflation. The coupling order $t$ is varied to examine a large class of theories up to $\chi^2 R^2$. For models with $t>0$, reheating is not achieved naturally; hence, we supplement such theories with a reheating mechanism based on the interaction of inflaton and radiation produced at the end of inflation due to cosmological expansion. We demonstrate that the energy density of the GWs is enhanced as a function of the coupling during kination for all considered theories, and a short-lived phase of hyperkination truncates the boost and avoids the over-production of GWs. Hyperkination, and thus the $R^2$ term, should be deemed necessary in all theories with a runaway potential as it prevents the GW enhancement during kination from destabilizing the Big Bang Nucleosynthesis. The spectrum remains flat for the period of hyperkination and reheating. We examine the available parameter space for which the theories remain valid and place bounds on the Hubble parameter ($H$) and radiation energy density ($\Omega_r^{\text{end}}$) at the end of inflation. We find that as we decrease the order of the coupling, the spectra shift towards a more observable regime of future GW experiments. The observation of the plateau during reheating will constrain the $H$ and $\Omega_r^{\text{end}}$ values, while the spectral shape of the boost obtained during kination will confirm the nature of the theory. The bounds from hyperkination lie in the kHz-GHz frequency range.",https://arxiv.org/pdf/2502.03573
Quantization of Carrollian fermions,"Ertuğrul Ekiz,Emre Onur Kahya,Utku Zorba",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"We provide the first example of interacting quantized Carrollian Dirac fermions and investigate their discrete symmetries, including charge conjugation (C), parity (P), and time reversal (T) transformations. As a toy model, we couple these fermions to a Carrollian scalar field using Carrollian Yukawa theory and compute the tree-level diagram, revealing an ultralocal interaction between the Carrollian fermions and the scalar field. This interaction, widely known as a Dirac delta interaction with time-dependent factor, frequently appears in quantum physics. We then address the renormalization of the theory by employing the Wilsonian procedure at one-loop order. Furthermore, we analyze the fixed points and stability properties of Carrollian Yukawa theory, comparing them with their relativistic counterparts. Beyond the specific Yukawa model studied here, we expect that our framework will have broader applications in Carrollian physics, particularly in understanding ultralocal interactions and their role in condensed matter systems, where similar phenomena arise in strongly correlated and non-relativistic regimes.",https://arxiv.org/pdf/2502.05645
Direct Collapse Supermassive Black Holes from Ultralight Dark Matter,"Hao Jiao,Robert Brandenberger,Vahid Kamali",Cosmology and Nongalactic Astrophysics (astro-ph.CO); Astrophysics of Galaxies (astro-ph.GA); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),We study the possibility that parametric resonant excitation of photons in an ultralight dark matter halo could generate the required flux of Lyman-Werner photons to allow the direct collapse formation of supermassive black hole seeds.,https://arxiv.org/pdf/2503.19414
Holographic timelike entanglement in AdS$_{3}$ Vaidya,"Gaurav Katoch,Debajyoti Sarkar,Bhim Sen",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"Based on the studies of pseudo-entropy in de Sitter, there have been recent proposals for a timelike entanglement in AdS/CFT. In this work, we explore this proposal in the context of a holographic CFT undergoing a global quench. We study various cases in which the timelike intervals are anchored at various boundary times, sometimes straddling the infalling shell. Our results seem to be consistent with how the quenched CFT evolves towards thermalization.",https://arxiv.org/pdf/2504.14313
Dynamical Dark Energy Emerges from Massive Gravity,Juri Smirnov,Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),"In this work, we demonstrate that a dynamical dark energy component predicted by massive gravity gives rise to a distinctive evolution of the equation of state. This scenario is favoured over the standard $\Lambda$CDM model when confronted with the latest combined datasets from the Dark Energy Spectroscopic Instrument (DESI), the cosmic microwave background (CMB), and supernova observations. The model stands out as a rare example of a healthy, self-consistent theory that accommodates phantom dark energy while maintaining a technically natural, small asymptotic cosmological constant. Our analysis indicates a preferred graviton mass of approximately $4.0 \times 10^{-33} \text{eV}$, suggesting the emergence of a new cosmological length scale. This leads to a maximal deviation of the equation of state around $z \sim 3$, a prediction that will be robustly tested by upcoming, deeper surveys of baryon acoustic oscillations.",https://arxiv.org/pdf/2505.03870
Scale Factorized-Quantum Field Theory (SF-QFT): An innovative framework for yielding scale and scheme invariant observables,Farrukh A. Chishtie,High Energy Physics - Phenomenology (hep-ph); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Experiment (hep-ex); High Energy Physics - Lattice (hep-lat); High Energy Physics - Theory (hep-th),"We introduce Scale Factorized-Quantum Field Theory (SF-QFT), a framework that performs path-integral factorization of ultraviolet (UV) and infrared (IR) momentum modes at a physical scale $Q^*$ before perturbative expansion. This approach yields a UV-finite effective action whose Wilson coefficients $C_i(Q)$ and coupling $a_{\mathrm{eff}}(Q)$ are fixed by matching to experiment. Because the two-loop $\beta$-function is universal in massless QCD, $a_{\mathrm{eff}}(Q)$ evolves with a scheme-independent equation, with higher-order $\beta$-coefficients absorbed into the $C_i$. Applying SF-QFT to the inclusive ratio $R_{e^{+}e^{-}}$ gives $R^{\mathrm{SF-QFT}}(31.6\,\mathrm{GeV}) = 1.05221 \pm 0.0007$, in excellent agreement with experiment ($R^{\mathrm{exp}}(31.6\,\mathrm{GeV})= 1.0527 \pm 0.005$) while requiring orders of magnitude fewer calculations than a conventional four-loop $\overline{\mathrm{MS}}$ approach. We find universal algebraic recursion relations that generate all higher-order contributions without additional Feynman diagrams, yielding scheme-invariant predictions with remarkable convergence with a closed-form solution. SF-QFT provides a rigorous proof for the existence of a positive mass gap in Yang-Mills theory, resolving one of the Millennium Prize Problems by demonstrating how non-perturbative effects emerge naturally from the path-integral factorization. For QED, the same formalism integrates out high-energy modes above $Q^*$, producing scheme-independent predictions for the electron anomalous magnetic moment with unprecedented precision ($a_e^{\text{theory}} = 0.001\,159\,652\,180\,61(76))$). SF-QFT heralds a paradigm shift in quantum field theory, replacing the pursuit of ever-higher loop orders with a unified framework that handles both perturbative and non-perturbative physics while maintaining manifest gauge invariance and eliminating renormalization ambiguities.",https://arxiv.org/pdf/2505.09947
What Price Fiber Bundle Substantivalism? On How to Avoid Holes in Fibers,"Philipp Berghofer,Jordan François,Lucrezia Ravera",History and Philosophy of Physics (physics.hist-ph); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"On a mathematically foundational level, our most successful physical theories (gauge field theories and general-relativistic theories) are formulated in a framework based on the differential geometry of connections on principal bundles. After reviewing the essentials of this framework, we articulate the generalized hole and point-coincidence arguments, examining how they weight on a substantivalist position towards bundle spaces. This question, then, is considered in light of the Dressing Field Method, which allows a manifestly invariant reformulation of gauge field theories and general-relativistic theories, making their conceptual structure more transparent: it formally implements the point-coincidence argument and thus allows to define (dressed) fields and (dressed) bundle spaces immune to hole-type arguments.",https://arxiv.org/pdf/2505.12876
Scalar-Induced Gravitational Waves in Palatini $f(R)$ Gravity,"Samuel Sánchez López,José Jaime Terente Díaz",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),"Primordial scalar perturbations that reenter the horizon after inflation may induce a second-order Gravitational Wave spectrum with information about the primordial Universe on scales inaccessible to Cosmic Microwave Background experiments. In this work, we develop a general framework for the study of Scalar-Induced Gravitational Waves in Palatini $f(R)$ gravity, a theory that was proven to successfully realise inflation and quintessence, and consider the case of the Starobinsky-like model as an example. A regime of radiation domination with a subdominant matter component is assumed, allowing for a well-motivated perturbative approach to the gravity modifications. We calculate the kernel function and the density spectrum numerically and find accurate analytical expressions. The spectral density, which may be tested across a wide range of frequencies by upcoming Gravitational Wave experiments, is shown to differ from the General Relativity and metric $f(R)$ gravity predictions under certain conditions. We comment on previous results in the literature regarding the metric formulation and make special emphasis on the potential of these distinctive features of the spectrum to probe the two formalisms of gravity.",https://arxiv.org/pdf/2505.13420
The Relative Fermionic Entropy in Two-Dimensional Rindler Spacetime,"Felix Finster,Albert Much",Mathematical Physics (math-ph); General Relativity and Quantum Cosmology (gr-qc); Quantum Physics (quant-ph),"The fermionic relative entropy in two-dimensional Rindler spacetime is studied using both modular theory and the reduced one-particle density operators. The methods and results are compared. A formula for the relative entropy for general Gaussian states is derived. As an application, the relative entropy is computed for a class of non-unitary excitations.",https://arxiv.org/pdf/2505.14076
"Standard Running, ""Physical Running"", Cosmological Constant and Newton Coupling","Hikaru Kawai,Nobuyoshi Ohta",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),Recently it is asserted that the standard beta function does not describe the correct running of the coupling constant in some theories. We show that the problem arises from the assumption $\mu=p$ ($\mu$ is a renormalization point) and that a suitable choice of $\mu$ gives the correct running. It is also claimed that neither the cosmological constant nor Newton coupling run. We argue that running can be discussed when we consider the curved spacetime.,https://arxiv.org/pdf/2505.16578
